"You clicked...","You clicked..."
"and we recommend for you...","and we recommend for you..."
"Their recent clicks...","Their recent clicks..."
"The most sold...","The most sold..."
"Most viewed...","Most viewed..."
"Top sellers","Top sellers"
"Most viewed","Most viewed"
"Releases","Releases"
"Promotion","Promotion"
"Price lowered","Price lowered"
"News","News"
"Last click","Last click"
"Number in the results","Number in the results"
"Product image size","Product image size"
"Notify the image size of the product","Notify the image size of the product"
"Best Seller","Best Seller"
"Most Viewed","Most Viewed"
"Products discount","Products discount"
"Filter by category","Filter by category"
"Most viewed by category","Most viewed by category"
"Margin of the slide","Margin of the slide"
"Maximum width of the slider","Maximum width of the slider"
"Maximum amount slider","Maximum amount slider"
"Minimum amount slider","Minimum amount slider"
"Select the categories allowed","Select the categories allowed"
"Select the default category","Select the default category"
"Number in the results","Number in the results"
"Best seller by category","Best seller by category"
"News products by category","News products by category"
"Products promotion by category","Products promotion by category"
"Enabled","Enabled"
